Year,Month,Day,Rank,Title,Principal,Collaborator,Peak_position,Weeks_in_chart,Hot,Weight,Gen_Principal,Gen_Collaborator,Principal_Sex,Collaborator_Sex
2013,5,11,10,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,10,4,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,11,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,4,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,11,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,4,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,11,12,Damaso,Gerardo Ortiz,Gerardo Ortiz,12,3,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,11,13,Limbo,Daddy Yankee,Daddy Yankee,13,4,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,5,11,14,Stand By Me,Prince Royce,Prince Royce,14,4,1,0.002976,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,15,El Amor Manda,Maria Jose,Maria Jose,10,2,0,0.005487,Spanish Pop,Spanish Pop,0,0.0
2013,5,11,16,Incondicional,Prince Royce,Prince Royce,15,4,1,0.022807,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,17,Rabiosa,Shakira,Pitbull,14,4,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,11,17,Rabiosa,Shakira,El Cata,14,4,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,11,18,Junto Al Amanecer,J Alvarez,J Alvarez,16,2,0,0.022807,Reggaeton,Reggaeton,1,1.0
2013,5,11,19,Como La Flor,Selena,Selena,11,3,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,5,11,20,El Amor Que Perdimos,Prince Royce,Prince Royce,19,4,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,21,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,3,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,21,Debate de 4,Romeo Santos,Raulin Rodriguez,21,3,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,21,Debate de 4,Romeo Santos,Luis Varges,21,3,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,22,Me Prefieres A Mi,Arcangel,Arcangel,18,3,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,5,11,23,Amor Confuso,Gerardo Ortiz,Gerardo Ortiz,23,3,0,0.002698,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,11,24,Llevame Contigo,Romeo Santos,Romeo Santos,7,4,1,0.022476,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,25,Corazon Sin Cara,Prince Royce,Prince Royce,24,2,1,0.002794,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,5,1,0.005831,Spanish Pop,Spanish Pop,0,1.0
2013,5,18,2,Danza Kuduro,Don Omar,Lucenzo,2,5,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,5,18,3,Hips Don't Lie,Shakira,Wyclef Jean,1,5,1,0.008508,Spanish Pop,Spanish Pop,0,1.0
2013,5,18,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,5,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,5,18,5,Loba,Shakira,Shakira,5,5,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,5,18,6,Loca,Shakira,El Cata,5,5,1,0.003095,Spanish Pop,Spanish Pop,0,1.0
2013,5,18,7,Damaso,Gerardo Ortiz,Gerardo Ortiz,7,4,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,18,8,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,8,5,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,18,8,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,8,5,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,18,9,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,9,5,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,18,10,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,5,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,5,18,11,Vivir Mi Vida,Marc Anthony,Marc Anthony,11,1,1,0.003241,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,12,Limbo,Daddy Yankee,Daddy Yankee,12,5,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,5,18,13,Stand By Me,Prince Royce,Prince Royce,13,5,1,0.009045,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,14,Rabiosa,Shakira,El Cata,14,5,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,18,14,Rabiosa,Shakira,Pitbull,14,5,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,18,15,Promise,Romeo Santos,Usher,5,5,1,0.010996,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,16,Incondicional,Prince Royce,Prince Royce,15,5,1,0.022807,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,17,Aquiles Afirmo,Gerardo Ortiz,Gerardo Ortiz,17,1,0,0.002698,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,18,18,Junto Al Amanecer,J Alvarez,J Alvarez,16,3,0,0.022807,Reggaeton,Reggaeton,1,1.0
2013,5,18,19,El Amor Que Perdimos,Prince Royce,Prince Royce,19,5,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,20,Me Prefieres A Mi,Arcangel,Arcangel,18,4,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,5,18,21,Como La Flor,Selena,Selena,11,4,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,5,18,22,More,Zion,Jory,22,2,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,18,22,More,Zion,Ken-Y,22,2,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,18,23,Amor Confuso,Gerardo Ortiz,Gerardo Ortiz,23,4,0,0.002698,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,18,24,Corazon Sin Cara,Prince Royce,Prince Royce,24,3,1,0.002794,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,25,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,4,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,25,Debate de 4,Romeo Santos,Luis Varges,21,4,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,18,25,Debate de 4,Romeo Santos,Raulin Rodriguez,21,4,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,1,Danza Kuduro,Don Omar,Lucenzo,1,6,1,0.003044,Reggaeton,Reggaeton,1,1.0
2013,5,25,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,6,1,0.002381,Spanish Pop,Spanish Pop,0,1.0
2013,5,25,3,Hips Don't Lie,Shakira,Wyclef Jean,1,6,1,0.008508,Spanish Pop,Spanish Pop,0,1.0
2013,5,25,4,"Senora, Senora, Senora",Denise de Kalafe,Denise de Kalafe,4,1,0,0.106162,Spanish Pop,Spanish Pop,0,0.0
2013,5,25,5,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,6,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,5,25,6,Loba,Shakira,Shakira,5,6,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,5,25,7,Loca,Shakira,El Cata,5,6,1,0.024082,Spanish Pop,Spanish Pop,0,1.0
2013,5,25,8,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,8,6,1,0.005487,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,25,9,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,8,6,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,25,9,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,8,6,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,25,10,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,6,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,5,25,11,Damaso,Gerardo Ortiz,Gerardo Ortiz,7,5,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,25,12,Limbo,Daddy Yankee,Daddy Yankee,12,6,1,0.022476,Reggaeton,Reggaeton,1,1.0
2013,5,25,13,Incondicional,Prince Royce,Prince Royce,13,6,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,14,Mi Primer Amor,Pesado,Pesado,14,1,0,0.012153,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,25,15,Rabiosa,Shakira,Pitbull,14,6,0,0.003307,Spanish Pop,Spanish Pop,0,1.0
2013,5,25,15,Rabiosa,Shakira,El Cata,14,6,0,0.003307,Spanish Pop,Spanish Pop,0,1.0
2013,5,25,16,Stand By Me,Prince Royce,Prince Royce,13,6,1,0.009045,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,17,Junto Al Amanecer,J Alvarez,J Alvarez,16,4,0,0.022807,Reggaeton,Reggaeton,1,1.0
2013,5,25,18,Vivir Mi Vida,Marc Anthony,Marc Anthony,11,2,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,19,El Amor Que Perdimos,Prince Royce,Prince Royce,19,6,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,20,Promise,Romeo Santos,Usher,5,6,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,21,More,Zion,Jory,21,3,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,25,21,More,Zion,Ken-Y,21,3,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,25,22,Gasolina,Daddy Yankee,Daddy Yankee,22,1,0,0.002381,Reggaeton,Reggaeton,1,1.0
2013,5,25,23,Como La Flor,Selena,Selena,11,5,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,5,25,24,Me Prefieres A Mi,Arcangel,Arcangel,18,5,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,5,25,25,Debate de 4,Romeo Santos,Raulin Rodriguez,21,5,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,25,Debate de 4,Romeo Santos,Luis Varges,21,5,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,25,25,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,5,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,1,Danza Kuduro,Don Omar,Lucenzo,1,7,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,6,1,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,7,1,0.002381,Spanish Pop,Spanish Pop,0,1.0
2013,6,1,3,Hips Don't Lie,Shakira,Wyclef Jean,1,7,1,0.002753,Spanish Pop,Spanish Pop,0,1.0
2013,6,1,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,7,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,6,1,5,Loba,Shakira,Shakira,5,7,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,6,1,6,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,6,7,1,0.005487,Regional Mexicana,Regional Mexicana,1,1.0
2013,6,1,7,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,7,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,6,1,7,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,7,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,6,1,8,Damaso,Gerardo Ortiz,Gerardo Ortiz,7,6,1,0.002866,Regional Mexicana,Regional Mexicana,1,1.0
2013,6,1,9,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,7,0,0.003563,Spanish Pop,Spanish Pop,0,0.0
2013,6,1,10,Loca,Shakira,El Cata,5,7,1,0.003095,Spanish Pop,Spanish Pop,0,1.0
2013,6,1,11,Vivir Mi Vida,Marc Anthony,Marc Anthony,11,3,1,0.009184,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,12,Incondicional,Prince Royce,Prince Royce,12,7,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,13,Limbo,Daddy Yankee,Daddy Yankee,12,7,1,0.022476,Reggaeton,Reggaeton,1,1.0
2013,6,1,14,Junto Al Amanecer,J Alvarez,J Alvarez,14,5,0,0.022807,Reggaeton,Reggaeton,1,1.0
2013,6,1,15,El Amor Que Perdimos,Prince Royce,Prince Royce,15,7,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,16,More,Zion,Jory,16,4,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,6,1,16,More,Zion,Ken-Y,16,4,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,6,1,17,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",17,6,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,17,Debate de 4,Romeo Santos,Raulin Rodriguez,17,6,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,17,Debate de 4,Romeo Santos,Luis Varges,17,6,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,18,Stand By Me,Prince Royce,Prince Royce,13,7,1,0.009045,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,19,Rabiosa,Shakira,Pitbull,14,7,0,0.003307,Spanish Pop,Spanish Pop,0,1.0
2013,6,1,19,Rabiosa,Shakira,El Cata,14,7,0,0.003307,Spanish Pop,Spanish Pop,0,1.0
2013,6,1,20,Promise,Romeo Santos,Usher,5,7,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,6,1,21,Me Prefieres A Mi,Arcangel,Arcangel,18,6,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,6,1,22,Gasolina,Daddy Yankee,Daddy Yankee,22,2,0,0.002381,Reggaeton,Reggaeton,1,1.0
2013,6,1,23,"Bon, Bon",Pitbull,Pitbull,21,3,0,0.003061,English pop,English pop,1,1.0
2013,6,1,24,La Pregunta,J Alvarez,J Alvarez,24,1,1,0.004881,Reggaeton,Reggaeton,1,1.0
2013,6,1,25,Como La Flor,Selena,Selena,11,6,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,6,8,1,Danza Kuduro,Don Omar,Lucenzo,1,8,1,0.002866,Reggaeton,Reggaeton,1,1.0
